nama,nim,jurusan,angkatan,email,ipk,image,catatan
Admiral Zuhdi,D110463547,Teknik Pertambangan,2026,zuhdivon@gmail.com,3.0,[object FileList],Berprestasi
Ahmad Fulan,D220400646,Teknik Pertambangan,2026,zuhdivon@gmail.com,3.0,[object FileList],Berprestasi
Muhammad Fulan,D787212195,Teknik Pertambangan,2026,zuhdivon@gmail.com,3.0,[object FileList],Berprestasi
Muh. Fulan,D604131532,Teknik Pertambangan,2026,zuhdivon@gmail.com,3.0,[object FileList],Berprestasi
Siti Fulani,D802076487,Teknik Informatika,2025,zuhdivon@gmail.com,4.0,[object FileList],Berprestasi
Fulani Awaliah,D856985129,Teknik Informatika,2019,zuhdivon@gmail.com,3.0,[object FileList],Berprestasi
Mahasiswa 7,D658567246,Teknik Lingkungan,2023,mahasiswa.7@kampus.ac.id,3.17,https://example.com/image.jpg,Magang
Mahasiswa 8,D298567297,Teknik Mesin,2020,mahasiswa.8@kampus.ac.id,2.72,https://example.com/image.jpg,Magang
Mahasiswa 9,D126758811,Teknik Elektro,2021,mahasiswa.9@kampus.ac.id,3.26,https://example.com/image.jpg,Magang
Mahasiswa 10,D892128687,Teknik Kimia,2023,mahasiswa.10@kampus.ac.id,3.0,https://example.com/image.jpg,Cuti
Mahasiswa 11,D336457852,Teknik Elektro,2020,mahasiswa.11@kampus.ac.id,3.81,https://example.com/image.jpg,Sedang TA
Mahasiswa 12,D384056257,Teknik Industri,2021,mahasiswa.12@kampus.ac.id,3.74,https://example.com/image.jpg,Sedang TA
Mahasiswa 13,D765651016,Teknik Informatika,2021,mahasiswa.13@kampus.ac.id,2.53,https://example.com/image.jpg,Sedang TA
Mahasiswa 14,D403509232,Teknik Sipil,2019,mahasiswa.14@kampus.ac.id,2.56,https://example.com/image.jpg,Sedang TA
Mahasiswa 15,D470368640,Teknik Sipil,2020,mahasiswa.15@kampus.ac.id,2.98,https://example.com/image.jpg,Cuti
Mahasiswa 16,D401501780,Teknik Arsitektur,2022,mahasiswa.16@kampus.ac.id,3.83,https://example.com/image.jpg,Aktif
Mahasiswa 17,D506284486,Teknik Arsitektur,2019,mahasiswa.17@kampus.ac.id,3.45,https://example.com/image.jpg,Sedang TA
Mahasiswa 18,D714803104,Teknik Elektro,2019,mahasiswa.18@kampus.ac.id,3.6,https://example.com/image.jpg,Magang
Mahasiswa 19,D640687651,Teknik Lingkungan,2020,mahasiswa.19@kampus.ac.id,2.8,https://example.com/image.jpg,Magang
Mahasiswa 20,D702646888,Teknik Kimia,2020,mahasiswa.20@kampus.ac.id,2.69,https://example.com/image.jpg,Lulus
Mahasiswa 21,D179305643,Teknik Arsitektur,2019,mahasiswa.21@kampus.ac.id,2.65,https://example.com/image.jpg,Sedang TA
Mahasiswa 22,D345812414,Teknik Kimia,2019,mahasiswa.22@kampus.ac.id,3.35,https://example.com/image.jpg,Aktif
Mahasiswa 23,D409891985,Teknik Informatika,2021,mahasiswa.23@kampus.ac.id,2.7,https://example.com/image.jpg,Aktif
Mahasiswa 24,D960808696,Teknik Sipil,2023,mahasiswa.24@kampus.ac.id,3.31,https://example.com/image.jpg,Magang
Mahasiswa 25,D888675541,Teknik Industri,2022,mahasiswa.25@kampus.ac.id,3.29,https://example.com/image.jpg,Cuti
Mahasiswa 26,D489082630,Teknik Arsitektur,2019,mahasiswa.26@kampus.ac.id,3.18,https://example.com/image.jpg,Cuti
Mahasiswa 27,D939598234,Teknik Arsitektur,2022,mahasiswa.27@kampus.ac.id,3.3,https://example.com/image.jpg,Lulus
Mahasiswa 28,D176286633,Teknik Industri,2023,mahasiswa.28@kampus.ac.id,2.69,https://example.com/image.jpg,Aktif
Mahasiswa 29,D957400092,Teknik Mesin,2022,mahasiswa.29@kampus.ac.id,3.23,https://example.com/image.jpg,Sedang TA
Mahasiswa 30,D824682084,Teknik Mesin,2023,mahasiswa.30@kampus.ac.id,2.5,https://example.com/image.jpg,Sedang TA
Mahasiswa 31,D423228918,Teknik Mesin,2019,mahasiswa.31@kampus.ac.id,3.48,https://example.com/image.jpg,Magang
Mahasiswa 32,D574929457,Teknik Kimia,2021,mahasiswa.32@kampus.ac.id,3.55,https://example.com/image.jpg,Sedang TA
Mahasiswa 33,D742507249,Teknik Arsitektur,2022,mahasiswa.33@kampus.ac.id,3.46,https://example.com/image.jpg,Lulus
Mahasiswa 34,D125862072,Teknik Sipil,2019,mahasiswa.34@kampus.ac.id,2.74,https://example.com/image.jpg,Lulus
Mahasiswa 35,D884215478,Teknik Informatika,2023,mahasiswa.35@kampus.ac.id,3.44,https://example.com/image.jpg,Lulus
Mahasiswa 36,D381534560,Teknik Mesin,2021,mahasiswa.36@kampus.ac.id,3.46,https://example.com/image.jpg,Magang
Mahasiswa 37,D319563759,Teknik Industri,2022,mahasiswa.37@kampus.ac.id,3.87,https://example.com/image.jpg,Cuti
Mahasiswa 38,D109654936,Teknik Sipil,2023,mahasiswa.38@kampus.ac.id,2.69,https://example.com/image.jpg,Cuti
Mahasiswa 39,D849837796,Teknik Lingkungan,2021,mahasiswa.39@kampus.ac.id,3.01,https://example.com/image.jpg,Sedang TA
Mahasiswa 40,D779559565,Teknik Kimia,2021,mahasiswa.40@kampus.ac.id,3.39,https://example.com/image.jpg,Cuti
Mahasiswa 41,D893446198,Teknik Arsitektur,2019,mahasiswa.41@kampus.ac.id,2.99,https://example.com/image.jpg,Sedang TA
Mahasiswa 42,D233012772,Teknik Informatika,2023,mahasiswa.42@kampus.ac.id,2.78,https://example.com/image.jpg,Lulus
Mahasiswa 43,D170118516,Teknik Industri,2023,mahasiswa.43@kampus.ac.id,2.91,https://example.com/image.jpg,Cuti
Mahasiswa 44,D923252342,Teknik Arsitektur,2019,mahasiswa.44@kampus.ac.id,2.8,https://example.com/image.jpg,Cuti
Mahasiswa 45,D994130581,Teknik Arsitektur,2019,mahasiswa.45@kampus.ac.id,3.12,https://example.com/image.jpg,Cuti
